Número de homicídios
Sigla,Código,Município,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
AC,1200401,Rio Branco,92,102,120,96,82,65,109,95,78,95,99,78,101,134,150,126,236,324,241,
AL,2704302,Maceió,360,485,511,435,494,573,789,829,933,810,918,915,761,826,740,573,565,617,518,
AM,1302603,Manaus,465,366,395,443,404,477,528,556,648,748,847,1026,1034,869,916,1130,1002,1187,1053,
AP,1600303,Macapá,131,131,135,132,119,129,125,119,143,115,181,127,156,143,182,188,261,257,296,
BA,2927408,Salvador,315,530,585,686,723,1051,1113,1314,1726,1851,1913,1650,1704,1473,1449,1542,1698,1763,1545,
CE,2304400,Fortaleza,604,609,707,674,582,733,754,895,864,867,1169,1224,1814,2129,2129,1729,1164,2145,1677,
DF,5300108,Brasília,770,773,744,742,696,657,660,711,812,882,786,902,954,837,843,742,760,610,530,
ES,3205309,Vitória,231,252,240,169,187,194,210,186,186,170,160,140,131,134,153,89,62,107,87,
GO,5208707,Goiânia,313,327,430,319,327,340,322,344,451,425,402,536,623,651,707,698,606,585,588,
MA,2111300,São Luís,144,244,194,242,270,235,271,322,356,436,458,478,554,774,856,758,601,506,315,
MG,3106200,Belo Horizonte,779,791,979,1106,1219,1076,975,1048,881,762,724,805,854,845,774,610,623,543,444,
MS,5002704,Campo Grande,261,231,239,229,210,199,197,241,184,200,184,168,178,144,184,170,175,142,133,
MT,5103403,Cuiabá,336,379,260,235,218,226,222,214,217,232,218,248,242,224,269,256,217,162,130,
PA,1501402,Belém,332,352,420,358,325,484,482,505,735,700,895,682,780,840,826,875,1101,1072,1072,
PB,2507507,João Pessoa,226,251,263,216,207,261,263,329,347,428,495,556,489,479,456,467,355,313,255,
PE,2611606,Recife,1383,1392,1312,970,964,1002,1049,1035,973,847,669,672,639,490,481,582,667,830,666,
PI,2211001,Teresina,159,169,206,183,157,201,231,183,178,188,202,242,300,351,438,351,374,319,320,
PR,4106902,Curitiba,416,453,530,479,591,661,715,688,771,778,764,661,594,534,604,518,557,448,406,
RJ,3304557,Rio de Janeiro,3316,3274,3728,3056,2993,2515,2735,2116,1829,1929,1867,1488,1339,1311,1419,1444,1678,1845,1865,
RN,2408102,Natal,74,113,102,138,94,134,149,206,254,290,293,369,409,485,521,446,550,575,458,
RO,1100205,Porto Velho,204,229,220,178,242,203,236,173,145,160,203,167,184,183,178,208,225,184,165,
RR,1400100,Boa Vista,81,67,82,81,60,59,56,65,65,72,82,54,82,125,81,120,118,149,270,
RS,4314902,Porto Alegre,534,501,560,402,437,485,436,581,574,494,466,471,534,522,663,688,824,692,544,
SC,4205407,Florianópolis,35,60,89,97,109,90,71,74,87,77,93,83,62,57,65,61,82,142,94,
SE,2800308,Aracaju,184,285,258,173,164,157,185,132,142,161,157,186,251,284,290,371,468,366,352,
SP,3550308,São Paulo,6764,6669,5575,5120,4048,2925,2685,2067,1787,1848,1704,1528,1903,1733,1833,1584,1221,1011,535,
TO,1721000,Palmas,30,40,33,38,35,23,25,21,25,27,47,63,46,64,84,98,100,95,105,
